Id,CaseId,TeamId,UserId,StateJson,UpdatedAt
16,8,,1,"{""userNotes"":[{""id"":""note_1776964456381"",""title"":""DarkNews Sitesi"",""text"":""URL: http://10.10.74.179:32780/\nKullanici: reporter\nSifre: news2024"",""x"":400,""y"":1200,""color"":""#bacb9a"",""rot"":-1},{""id"":""note_1776964588653"",""title"":""PCAP Bulgulari"",""text"":""darknews.local:8080\nreporter / news2024"",""x"":600,""y"":1200,""color"":""#bacb9a"",""rot"":-1}],""strings"":[],""suspects"":[]}",2026-04-23 17:16:28.6993176
17,8,,5,"{""userNotes"":[{""id"":""note_1776970463293"",""title"":""CEO SSH"",""text"":""Kullanici: ceo\nSifre: ceo_pass_2024"",""x"":400,""y"":1200,""color"":""#bacb9a"",""rot"":-1},{""id"":""note_1776970484605"",""title"":""DarkNews Sitesi"",""text"":""URL: http://10.10.74.179:32780/\nKullanici: reporter\nSifre: news2024"",""x"":600,""y"":1200,""color"":""#bacb9a"",""rot"":-1}],""strings"":[],""suspects"":[]}",2026-04-23 18:54:44.6115323
18,8,1,,"{""userNotes"":[{""id"":""note_1776976312476"",""title"":""CEO SSH"",""text"":""Kullanici: ceo\nSifre: ceo_pass_2024"",""x"":400,""y"":1200,""color"":""#bacb9a"",""rot"":-1},{""id"":""note_1776976481875"",""title"":""DarkNews Sitesi"",""text"":""URL: http://10.10.74.179:32780/\nKullanici: reporter\nSifre: news2024"",""x"":600,""y"":1200,""color"":""#bacb9a"",""rot"":-1}],""strings"":[],""suspects"":[]}",2026-04-23 20:34:42.6188311
